workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
RNN-T,3,Unified Buffer,0.86,1.1099999999999999,1.7870192727605829e-06,77824.0,89260032.0
RNN-T,3,Cache-Based,1.35,0.65,3.0516790657911492e-06,65536.0,75497472.0
RNN-T,4,Static,1.0,1.0,1.8125773552290406e-06,32768.0,37224448.0
RNN-T,4,Double Buffer,1.18,0.76,2.3849702042487375e-06,29491.2,33554432.0
RNN-T,4,Unified Buffer,0.86,1.1099999999999999,1.6329525722784153e-06,31129.6,35389440.0
RNN-T,4,Cache-Based,1.35,0.65,2.7885805465062163e-06,26214.4,29884416.0
DLRM,1,Static,1.0,1.0,1.019705585607488e-06,180224.0,206045184.0
DLRM,1,Double Buffer,1.18,0.6536,1.5601370648829375e-06,162201.6,185860096.0
DLRM,1,Unified Buffer,0.86,1.0568,9.648993050790008e-07,171212.8,195952640.0
DLRM,1,Cache-Based,1.35,0.5284,1.9297986101580017e-06,144179.2,165675008.0
DLRM,2,Static,1.0,1.0,1.007035774309724e-06,57344.0,65273856.0
DLRM,2,Double Buffer,1.18,0.6536,1.5407524086746085e-06,51609.6,58851328.0
DLRM,2,Unified Buffer,0.86,1.0568,9.529104601719567e-07,54476.799999999996,62062591.99999999
DLRM,2,Cache-Based,1.35,0.5284,1.9058209203439135e-06,45875.200000000004,52428800.00000001
DLRM,3,Static,1.0,1.0,1.019705585607488e-06,180224.0,206045184.0
DLRM,3,Double Buffer,1.18,0.6536,1.5601370648829375e-06,162201.6,185860096.0
DLRM,3,Unified Buffer,0.86,1.0568,9.648993050790008e-07,171212.8,195952640.0
DLRM,3,Cache-Based,1.35,0.5284,1.9297986101580017e-06,144179.2,165675008.0
DLRM,4,Static,1.0,1.0,9.906244685876242e-07,36864.0,41811968.0
DLRM,4,Double Buffer,1.18,0.6536,1.5156433117925702e-06,33177.6,37683200.0
DLRM,4,Unified Buffer,0.86,1.0568,9.373812155446859e-07,35020.799999999996,39747583.99999999
DLRM,4,Cache-Based,1.35,0.5284,1.8747624310893717e-06,29491.2,33554432.0
VGG-16,1,Static,1.0,1.0,2.9837528455284553e-05,438272.0,548667392.0
VGG-16,1,Double Buffer,1.18,0.7824,3.8135900377408684e-05,394444.8,499580928.0
VGG-16,1,Unified Buffer,0.86,1.1212,2.6612137402144623e-05,416358.39999999997,524124159.99999994
VGG-16,1,Cache-Based,1.35,0.6756000000000001,4.4164488536537226e-05,350617.60000000003,450494464.00000006
VGG-16,2,Static,1.0,1.0,1.2029083190260654e-05,348160.0,447741952.0
VGG-16,2,Double Buffer,1.18,0.7824,1.53745950795765e-05,313344.0,408748032.0
VGG-16,2,Unified Buffer,0.86,1.1212,1.0728757750856808e-05,330752.0,428244992.0
VGG-16,2,Cache-Based,1.35,0.6756000000000001,1.780503728576177e-05,278528.0,369754112.0
VGG-16,3,Static,1.0,1.0,3.127473765369476e-06,690176.0,830799872.0
VGG-16,3,Double Buffer,1.18,0.7824,3.997282419950762e-06,621158.4,753500160.0
VGG-16,3,Unified Buffer,0.86,1.1212,2.7893986490987124e-06,655667.2,792150016.0
VGG-16,3,Cache-Based,1.35,0.6756000000000001,4.6291796408666014e-06,552140.8,676200448.0
VGG-16,4,Static,1.0,1.0,7.838564715933362e-07,2409472.0,2756411392.0
VGG-16,4,Double Buffer,1.18,0.7824,1.0018615434475155e-06,2168524.8000000003,2486550528.0000005
VGG-16,4,Unified Buffer,0.86,1.1212,6.991227895052946e-07,2288998.4,2621480960.0
VGG-16,4,Cache-Based,1.35,0.6756000000000001,1.1602375245608882e-06,1927577.6,2216689664.0
GPT-2/Transformer,1,Static,1.0,1.0,4.038809821858449e-06,393216.0,459276288.0
GPT-2/Transformer,1,Double Buffer,1.18,0.7376,5.475609845252779e-06,353894.4,415236096.0
GPT-2/Transformer,1,Unified Buffer,0.86,1.0988,3.67565509816022e-06,373555.19999999995,437256191.99999994
GPT-2/Transformer,1,Cache-Based,1.35,0.6244000000000001,6.468305288050046e-06,314572.80000000005,371195904.00000006
GPT-2/Transformer,2,Static,1.0,1.0,4.038809821858449e-06,393216.0,459276288.0
GPT-2/Transformer,2,Double Buffer,1.18,0.7376,5.475609845252779e-06,353894.4,415236096.0
GPT-2/Transformer,2,Unified Buffer,0.86,1.0988,3.67565509816022e-06,373555.19999999995,437256191.99999994
GPT-2/Transformer,2,Cache-Based,1.35,0.6244000000000001,6.468305288050046e-06,314572.80000000005,371195904.00000006
GPT-2/Transformer,3,Static,1.0,1.0,3.876436229205176e-06,135168.0,156106752.0
GPT-2/Transformer,3,Double Buffer,1.18,0.7376,5.255472111178383e-06,121651.2,140967936.0
GPT-2/Transformer,3,Unified Buffer,0.86,1.0988,3.527881533677808e-06,128409.59999999999,148537344.0
GPT-2/Transformer,3,Cache-Based,1.35,0.6244000000000001,6.208257894306815e-06,108134.40000000001,125829120.00000001
GPT-2/Transformer,4,Static,1.0,1.0,3.876436229205176e-06,135168.0,156106752.0
GPT-2/Transformer,4,Double Buffer,1.18,0.7376,5.255472111178383e-06,121651.2,140967936.0
GPT-2/Transformer,4,Unified Buffer,0.86,1.0988,3.527881533677808e-06,128409.59999999999,148537344.0
GPT-2/Transformer,4,Cache-Based,1.35,0.6244000000000001,6.208257894306815e-06,108134.40000000001,125829120.00000001
