workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
U-Net,3,Weight Multicast,215040.0,131365,1149.4305484718152,240844800.0
U-Net,3,Hybrid,133094.80503157218,4645,32506.98471474704,149066181.63536084
U-Net,4,Input Multicast,215040.0,5253,28744.516276413477,240844800.0
U-Net,4,Weight Multicast,397824.0,262221,575.8308602285858,445562880.0
U-Net,4,Hybrid,223627.5628932539,9253,16318.485248027666,250462870.44044435
SSD-MobileNet,1,Input Multicast,44424.0,1518,8766.735177865612,49754880.0
SSD-MobileNet,1,Weight Multicast,39264.0,11629,1144.3721730157365,43975680.0
SSD-MobileNet,1,Hybrid,32995.03129915361,613,21709.468189233277,36954435.05505204
SSD-MobileNet,2,Input Multicast,88128.0,4713,3128.70782940802,98703360.0
SSD-MobileNet,2,Weight Multicast,37632.0,6693,2203.1376064545047,42147840.0
SSD-MobileNet,2,Hybrid,39232.38246860261,613,24054.812398042413,43940268.36483493
SSD-MobileNet,3,Input Multicast,302112.0,18462,798.7000324991875,338365440.0
SSD-MobileNet,3,Weight Multicast,83328.0,4357,3384.3470277714023,93327360.0
SSD-MobileNet,3,Hybrid,104740.28557408226,1189,12401.682085786375,117309119.84297213
SSD-MobileNet,4,Input Multicast,592704.0,36878,287.89066652204565,663828480.0
SSD-MobileNet,4,Weight Multicast,152064.0,4613,2301.5027097333623,170311680.0
SSD-MobileNet,4,Hybrid,197633.39504753306,2341,4535.16958564716,221349402.45323703
