workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
ResNet-18,2,Double Buffer,1.18,0.8216,2.0507450512946393e-06,201830.4,254951424.0
ResNet-18,2,Unified Buffer,0.86,1.1408,1.4769391077697015e-06,213043.19999999998,267509759.99999997
ResNet-18,2,Cache-Based,1.35,0.7204,2.3388286148579616e-06,179404.80000000002,229834752.00000003
ResNet-18,3,Static,1.0,1.0,1.1698475425263862e-06,370176.0,443498496.0
ResNet-18,3,Double Buffer,1.18,0.8216,1.423865071234647e-06,333158.4,402038784.0
ResNet-18,3,Unified Buffer,0.86,1.1408,1.0254624320883467e-06,351667.2,422768640.0
ResNet-18,3,Cache-Based,1.35,0.7204,1.623886094567443e-06,296140.8,360579072.0
ResNet-18,4,Static,1.0,1.0,3.760005464107643e-07,1217280.0,1392254976.0
ResNet-18,4,Double Buffer,1.18,0.8216,4.5764428725750283e-07,1095552.0,1255919616.0
ResNet-18,4,Unified Buffer,0.86,1.1408,3.2959374685375554e-07,1156416.0,1324087296.0
ResNet-18,4,Cache-Based,1.35,0.7204,5.21933018338096e-07,973824.0,1119584256.0
TinyBERT,1,Static,1.0,1.0,5.119218869191103e-07,147456.0,169345024.0
TinyBERT,1,Double Buffer,1.18,0.746,6.862223685242765e-07,132710.4,152829952.0
TinyBERT,1,Unified Buffer,0.86,1.103,4.6411775785957414e-07,140083.19999999998,161087487.99999997
TinyBERT,1,Cache-Based,1.35,0.634,8.074477711657891e-07,117964.8,136314880.0
TinyBERT,2,Static,1.0,1.0,2.0478750076289288e-07,147456.0,169345024.0
TinyBERT,2,Double Buffer,1.18,0.746,2.745140760896687e-07,132710.4,152829952.0
TinyBERT,2,Unified Buffer,0.86,1.103,1.8566409860643054e-07,140083.19999999998,161087487.99999997
TinyBERT,2,Cache-Based,1.35,0.634,3.2300867628216546e-07,117964.8,136314880.0
TinyBERT,3,Static,1.0,1.0,2.0475001220405177e-07,49152.0,56098816.0
TinyBERT,3,Double Buffer,1.18,0.746,2.744638233298281e-07,44236.8,50593792.0
TinyBERT,3,Unified Buffer,0.86,1.103,1.8563011079243133e-07,46694.399999999994,53346303.99999999
TinyBERT,3,Cache-Based,1.35,0.634,3.229495460631731e-07,39321.600000000006,45088768.00000001
TinyBERT,4,Static,1.0,1.0,5.119218869191103e-07,147456.0,169345024.0
TinyBERT,4,Double Buffer,1.18,0.746,6.862223685242765e-07,132710.4,152829952.0
TinyBERT,4,Unified Buffer,0.86,1.103,4.6411775785957414e-07,140083.19999999998,161087487.99999997
TinyBERT,4,Cache-Based,1.35,0.634,8.074477711657891e-07,117964.8,136314880.0
U-Net,1,Static,1.0,1.0,1.1073907533442854e-06,266816.0,300013568.0
U-Net,1,Double Buffer,1.18,0.718,1.5423269545185036e-06,240134.4,270130176.0
U-Net,1,Unified Buffer,0.86,1.089,1.016887744117801e-06,253475.19999999998,285071872.0
U-Net,1,Cache-Based,1.35,0.6020000000000001,1.8395195238277163e-06,213452.80000000002,240246784.00000003
U-Net,2,Static,1.0,1.0,1.7981368296952591e-06,270336.0,340525056.0
U-Net,2,Double Buffer,1.18,0.718,2.504368843586712e-06,243302.4,310247424.0
U-Net,2,Unified Buffer,0.86,1.089,1.651181661795463e-06,256819.19999999998,325386240.0
U-Net,2,Cache-Based,1.35,0.6020000000000001,2.986938255307739e-06,216268.80000000002,279969792.0
U-Net,3,Static,1.0,1.0,1.009938826425165e-06,270336.0,340525056.0
U-Net,3,Double Buffer,1.18,0.718,1.406600036803851e-06,243302.4,310247424.0
U-Net,3,Unified Buffer,0.86,1.089,9.274002079202617e-07,256819.19999999998,325386240.0
U-Net,3,Cache-Based,1.35,0.6020000000000001,1.67763924655343e-06,216268.80000000002,279969792.0
U-Net,4,Static,1.0,1.0,5.660392941890934e-07,411648.0,498794496.0
U-Net,4,Double Buffer,1.18,0.718,7.883555629374561e-07,370483.2,452689920.0
U-Net,4,Unified Buffer,0.86,1.089,5.197789661975147e-07,391065.6,475742208.0
U-Net,4,Cache-Based,1.35,0.6020000000000001,9.402646082875305e-07,329318.4,406585344.0
SSD-MobileNet,1,Static,1.0,1.0,8.232541911537272e-07,53088.0,62785536.0
SSD-MobileNet,1,Double Buffer,1.18,0.8104,1.0158615389359912e-06,47779.200000000004,56839680.00000001
SSD-MobileNet,1,Unified Buffer,0.86,1.1352,7.252062994659332e-07,50433.6,59812608.0
SSD-MobileNet,1,Cache-Based,1.35,0.7076,1.163445719550208e-06,42470.4,50893824.0
SSD-MobileNet,2,Static,1.0,1.0,5.936948906872811e-07,92928.0,107765760.0
SSD-MobileNet,2,Double Buffer,1.18,0.8104,7.325948799201396e-07,83635.2,97357824.0
SSD-MobileNet,2,Unified Buffer,0.86,1.1352,5.229870425363646e-07,88281.59999999999,102561791.99999999
SSD-MobileNet,2,Cache-Based,1.35,0.7076,8.390261315535347e-07,74342.40000000001,86949888.00000001
SSD-MobileNet,3,Static,1.0,1.0,1.9166807481834844e-07,304512.0,344739840.0
SSD-MobileNet,3,Double Buffer,1.18,0.8104,2.3651045757446747e-07,274060.8,310634496.0
SSD-MobileNet,3,Unified Buffer,0.86,1.1352,1.688407988181364e-07,289286.39999999997,327687167.99999994
SSD-MobileNet,3,Cache-Based,1.35,0.7076,2.708706540677621e-07,243609.6,276529152.0
SSD-MobileNet,4,Static,1.0,1.0,7.088994090742163e-08,594432.0,668418048.0
SSD-MobileNet,4,Double Buffer,1.18,0.8104,8.747524791142847e-08,534988.8,601841664.0
SSD-MobileNet,4,Unified Buffer,0.86,1.1352,6.244709382260539e-08,564710.4,635129856.0
SSD-MobileNet,4,Cache-Based,1.35,0.7076,1.0018363610432677e-07,475545.60000000003,535265280.00000006
