workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
VGG-16,4,Weight Multicast,640000.0,34309,6739.077443236469,716800000.0
VGG-16,4,Hybrid,811641.387580079,4645,49776.320344456406,909038354.0896885
GPT-2/Transformer,1,Input Multicast,356352.0,9477,7966.389363722697,399114240.0
GPT-2/Transformer,1,Weight Multicast,282624.0,49733,1518.0558582832325,316538880.0
GPT-2/Transformer,1,Hybrid,261464.45283030928,229,329683.2838427948,292840187.1699464
GPT-2/Transformer,2,Input Multicast,245760.0,9477,7966.389363722697,275251200.0
GPT-2/Transformer,2,Weight Multicast,282624.0,197189,382.8685778618483,316538880.0
GPT-2/Transformer,2,Hybrid,162650.79245304127,805,93785.6795031056,182168887.54740623
GPT-2/Transformer,3,Input Multicast,98304.0,2565,7358.428070175439,110100480.0
GPT-2/Transformer,3,Weight Multicast,107520.0,49301,382.83945558913615,120422400.0
GPT-2/Transformer,3,Hybrid,77526.69811326033,229,82420.8209606987,86829901.88685156
GPT-2/Transformer,4,Input Multicast,98304.0,2565,7358.428070175439,110100480.0
GPT-2/Transformer,4,Weight Multicast,107520.0,49301,382.83945558913615,120422400.0
GPT-2/Transformer,4,Hybrid,77526.69811326033,229,82420.8209606987,86829901.88685156
