workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
MobileNetV2,4,mv2_proj,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,52422.399999999994,717,0.18549511854951187,4387.347280334728,1.112907608695652,39077552.0
MobileNetV2,4,mv2_proj,WS,ROW_MAJOR,WS-RM,16,16384,16,4,48189.44000000001,25171,0.005283858408485956,124.97429581661436,1.0230434782608697,35985232.0
MobileNetV2,4,mv2_proj,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,47104.0,24605,0.005405405405405406,127.84913635439952,1.0,35192832.0
MobileNetV2,4,mv2_proj,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,47708.16,24920,0.0053370786516853935,126.2330658105939,1.0128260869565218,35634112.0
EfficientDet-Lite0,1,edet_p3,OS,ROW_MAJOR,OS-RM,16,16384,16,4,155520.0,2519,0.815005954743946,14634.378721714966,1.2272727272727273,95427440.0
EfficientDet-Lite0,1,edet_p3,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,144640.0,2343,0.8762270593256509,15733.674775928297,1.1414141414141414,89395680.0
EfficientDet-Lite0,1,edet_p3,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,126720.0,2053,1.0,17956.161714564052,1.0,79462400.0
EfficientDet-Lite0,1,edet_p3,IS,ROW_MAJOR,IS-RM,16,16384,16,4,126720.0,2469,0.83151073309032,14930.741190765491,1.0,79462400.0
EfficientDet-Lite0,1,edet_p3,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,132892.16,2589,0.7929702587871765,14238.702201622247,1.0487070707070707,82883440.0
EfficientDet-Lite0,1,edet_p3,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,137004.8,2669,0.7692019482952417,13811.914574747096,1.081161616161616,85163200.0
EfficientDet-Lite0,1,edet_p3,WS,ROW_MAJOR,WS-RM,16,16384,16,4,128512.00000000001,51983,0.039493680626358614,709.1549160302407,1.0141414141414142,80455280.0
EfficientDet-Lite0,1,edet_p3,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,126720.0,51259,0.040051503150666225,719.1712674847344,1.0,79462400.0
EfficientDet-Lite0,1,edet_p3,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,127685.6,51649,0.03974907549032895,713.7408275087611,1.0076199494949496,79997200.0
EfficientDet-Lite0,2,edet_p4,OS,ROW_MAJOR,OS-RM,16,16384,16,4,74480.0,872,0.8681192660550459,21137.61467889908,1.1522277227722773,54988400.0
EfficientDet-Lite0,2,edet_p4,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,70688.0,827,0.9153567110036276,22287.787182587665,1.0935643564356436,52423600.0
EfficientDet-Lite0,2,edet_p4,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,64640.0,757,1.0,24348.745046235137,1.0,48332800.0
EfficientDet-Lite0,2,edet_p4,IS,ROW_MAJOR,IS-RM,16,16384,16,4,64640.0,1845,0.4102981029810298,9990.243902439024,1.0,48332800.0
EfficientDet-Lite0,2,edet_p4,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,66604.0,1901,0.398211467648606,9695.94950026302,1.0303836633663366,49661120.0
EfficientDet-Lite0,2,edet_p4,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,67910.0,1938,0.39060887512899894,9510.835913312694,1.0505878712871286,50544240.0
EfficientDet-Lite0,2,edet_p4,WS,ROW_MAJOR,WS-RM,16,16384,16,4,68259.84,16998,0.0445346511354277,1084.3628662195551,1.056,50781120.0
EfficientDet-Lite0,2,edet_p4,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,64640.0,16097,0.047027396409268805,1145.05808535752,1.0,48332800.0
EfficientDet-Lite0,2,edet_p4,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,66595.84,16584,0.04564640617462615,1111.4327062228654,1.0302574257425743,49655520.0
EfficientDet-Lite0,3,edet_lat,OS,ROW_MAJOR,OS-RM,16,16384,16,4,65136.0,194,0.8505154639175257,16890.721649484534,1.1779513888888888,39996800.0
EfficientDet-Lite0,3,edet_lat,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,61344.0,183,0.9016393442622951,17906.01092896175,1.109375,37716480.0
EfficientDet-Lite0,3,edet_lat,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,55296.0,165,1.0,19859.39393939394,1.0,34078720.0
EfficientDet-Lite0,3,edet_lat,IS,ROW_MAJOR,IS-RM,16,16384,16,4,55296.0,661,0.24962178517397882,4957.337367624811,1.0,34078720.0
EfficientDet-Lite0,3,edet_lat,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,58480.64,699,0.23605150214592274,4687.839771101574,1.0575925925925926,35993920.0
EfficientDet-Lite0,3,edet_lat,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,60595.2,724,0.22790055248618785,4525.96685082873,1.0958333333333332,37265680.0
EfficientDet-Lite0,3,edet_lat,WS,ROW_MAJOR,WS-RM,16,16384,16,4,56074.240000000005,25981,0.006350794811593087,126.12293599168623,1.0140740740740741,34546320.0
EfficientDet-Lite0,3,edet_lat,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,55296.0,25621,0.006440029663166934,127.89508606221459,1.0,34078720.0
EfficientDet-Lite0,3,edet_lat,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,55736.32,25825,0.0063891577928363984,126.88480154888674,1.007962962962963,34343040.0
EfficientDet-Lite0,4,edet_p5,OS,ROW_MAJOR,OS-RM,16,16384,16,4,95223.0,628,0.9761146496815286,23480.254777070062,1.0246965392561984,95645680.0
EfficientDet-Lite0,4,edet_p5,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,94201.99999999999,621,0.9871175523349437,23744.927536231884,1.013709538567493,94660080.0
