workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
ResNet-50,4,r50_st3,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,1807646.72,75599,0.12239579888622866,24467.09697218217,1.014528735632184,2030877296.0
ResNet-50,4,r50_st3,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,1824768.0,76315,0.1212474611806329,24237.542606302824,1.0241379310344827,2045732976.0
ResNet-50,4,r50_st3,WS,ROW_MAJOR,WS-RM,16,65536,16,4,1969192.96,226915,0.040777383601789216,8151.457876297292,1.1051954022988506,2171047536.0
ResNet-50,4,r50_st3,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,1781760.0,205317,0.045066896555083114,9008.93771095428,1.0,2008416256.0
ResNet-50,4,r50_st3,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,1883340.7999999998,217022,0.042636230428251515,8523.0440416179,1.0570114942528734,2096555216.0
BERT-Large,1,bert_ffn1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,446259.19999999995,306,0.9575163398692811,219310.01307189543,1.0475961538461538,362799536.0
BERT-Large,1,bert_ffn1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,436879.3599999999,300,0.9766666666666667,223696.21333333335,1.025576923076923,355526256.0
BERT-Large,1,bert_ffn1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,425984.0,293,1.0,229040.4914675768,1.0,347078656.0
BERT-Large,1,bert_ffn1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,425984.0,16517,0.017739298904159352,4063.017739298904,1.0,347078656.0
BERT-Large,1,bert_ffn1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,431718.39999999997,16739,0.017504032498954537,4009.1322062249837,1.0134615384615384,351524496.0
BERT-Large,1,bert_ffn1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,435404.8,16882,0.01735576353512617,3975.172609880346,1.0221153846153845,354383296.0
BERT-Large,1,bert_ffn1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,507248.64,40244,0.007280588410694762,1667.5495477586721,1.1907692307692308,410089856.0
BERT-Large,1,bert_ffn1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,425984.0,33797,0.008669408527384088,1985.6455898452525,1.0,347078656.0
BERT-Large,1,bert_ffn1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,475791.36,37748,0.007762000635795274,1777.8124403941931,1.116923076923077,385698496.0
BERT-Large,2,bert_ffn2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,431513.5999999999,1074,0.9878957169459963,62484.97579143389,1.012980769230769,462895616.0
BERT-Large,2,bert_ffn2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,429015.04000000004,1068,0.9934456928838952,62836.01498127341,1.0071153846153846,460312336.0
BERT-Large,2,bert_ffn2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,425984.0,1061,1.0,63250.57869934024,1.0,457179136.0
BERT-Large,2,bert_ffn2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,425984.0,16517,0.06423684688502755,4063.017739298904,1.0,457179136.0
BERT-Large,2,bert_ffn2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,470548.48,18244,0.05815610611707959,3678.4073668055253,1.1046153846153846,503251456.0
BERT-Large,2,bert_ffn2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,498073.5999999999,19312,0.05493993371996686,3474.9826014913006,1.169230769230769,531708416.0
BERT-Large,2,bert_ffn2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,467927.04,145107,0.0073118457414184015,462.4784745050204,1.0984615384615384,500541616.0
BERT-Large,2,bert_ffn2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,425984.0,132101,0.008031733294978843,508.0117788661706,1.0,457179136.0
BERT-Large,2,bert_ffn2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,448757.76,139163,0.0076241529716950624,482.2320875520074,1.0534615384615384,480723216.0
BERT-Large,3,bert_qkv,OS,ROW_MAJOR,OS-RM,16,65536,16,4,136601.6,305,0.9606557377049181,55007.26557377049,1.0421875,118939424.0
BERT-Large,3,bert_qkv,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,134103.04,299,0.979933110367893,56111.09030100334,1.023125,116840544.0
BERT-Large,3,bert_qkv,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,131072.0,293,1.0,57260.1228668942,1.0,114294784.0
BERT-Large,3,bert_qkv,IS,ROW_MAJOR,IS-RM,16,65536,16,4,131072.0,4229,0.06928351856230787,3967.1827855284937,1.0,114294784.0
BERT-Large,3,bert_qkv,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,136806.4,4414,0.06637970095151789,3800.9098323516087,1.04375,119111344.0
BERT-Large,3,bert_qkv,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,140492.8,4532,0.0646513680494263,3701.945278022948,1.071875,122208144.0
BERT-Large,3,bert_qkv,WS,ROW_MAJOR,WS-RM,16,65536,16,4,143523.84,36166,0.008101531825471438,463.8947077365481,1.095,124753904.0
BERT-Large,3,bert_qkv,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,131072.0,33029,0.00887099215840625,507.9541009415968,1.0,114294784.0
BERT-Large,3,bert_qkv,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,138117.12,34804,0.008418572577864613,482.048500172394,1.05375,120212304.0
BERT-Large,4,bert_out,OS,ROW_MAJOR,OS-RM,16,65536,16,4,136601.6,305,0.9606557377049181,55007.26557377049,1.0421875,118939424.0
BERT-Large,4,bert_out,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,134103.04,299,0.979933110367893,56111.09030100334,1.023125,116840544.0
BERT-Large,4,bert_out,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,131072.0,293,1.0,57260.1228668942,1.0,114294784.0
BERT-Large,4,bert_out,IS,ROW_MAJOR,IS-RM,16,65536,16,4,131072.0,4229,0.06928351856230787,3967.1827855284937,1.0,114294784.0
BERT-Large,4,bert_out,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,136806.4,4414,0.06637970095151789,3800.9098323516087,1.04375,119111344.0
BERT-Large,4,bert_out,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,140492.8,4532,0.0646513680494263,3701.945278022948,1.071875,122208144.0
BERT-Large,4,bert_out,WS,ROW_MAJOR,WS-RM,16,65536,16,4,143523.84,36166,0.008101531825471438,463.8947077365481,1.095,124753904.0
BERT-Large,4,bert_out,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,131072.0,33029,0.00887099215840625,507.9541009415968,1.0,114294784.0
BERT-Large,4,bert_out,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,138117.12,34804,0.008418572577864613,482.048500172394,1.05375,120212304.0
3D-UNet,1,unet3d_e1,OS,ROW_MAJOR,OS-RM,16,65536,16,4,776889.6,880,0.696590909090909,10724.072727272727,1.436131322094055,29175456.0
3D-UNet,1,unet3d_e1,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,687760.64,779,0.7869062901155327,12114.485237483954,1.2713706004140788,26098816.0
3D-UNet,1,unet3d_e1,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,540960.0,613,1.0,15395.079934747146,1.0,21031936.0
3D-UNet,1,unet3d_e1,IS,ROW_MAJOR,IS-RM,16,65536,16,4,540960.0,16407,0.037362101542024746,575.1925397696106,1.0,21031936.0
3D-UNet,1,unet3d_e1,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,542926.1075,16466,0.03722822786347625,573.1315437871979,1.003634478519669,21099696.0
3D-UNet,1,unet3d_e1,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,544236.84375,16506,0.03713801042045317,571.742639040349,1.0060574603482697,21144496.0
3D-UNet,1,unet3d_e1,WS,ROW_MAJOR,WS-RM,16,65536,16,4,541044.16,16393,0.037394009638260235,575.6837674617215,1.0001555752735878,21034736.0
3D-UNet,1,unet3d_e1,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,540960.0,16391,0.03739857238728571,575.7540113476908,1.0,21031936.0
3D-UNet,1,unet3d_e1,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,541011.2,16392,0.037396290873596874,575.7188872620791,1.0000946465542737,21033616.0
3D-UNet,2,unet3d_e2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,529612.8,5976,0.7772757697456493,25266.89156626506,1.2865671641791045,253176816.0
3D-UNet,2,unet3d_e2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,485048.32000000007,5473,0.8487118582130458,27589.06340215604,1.1783084577114429,235049616.0
3D-UNet,2,unet3d_e2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,411648.0,4645,1.0,32506.98471474704,1.0,205193216.0
3D-UNet,2,unet3d_e2,IS,ROW_MAJOR,IS-RM,16,65536,16,4,411648.0,5253,0.8842566152674662,28744.516276413477,1.0,205193216.0
3D-UNet,2,unet3d_e2,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,427404.8,5454,0.8516685001833517,27685.17491749175,1.0382773631840796,211602416.0
3D-UNet,2,unet3d_e2,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,437907.2,5588,0.8312455261274159,27021.28561202577,1.0637904228855721,215874096.0
3D-UNet,2,unet3d_e2,WS,ROW_MAJOR,WS-RM,16,65536,16,4,414576.64,132082,0.035167547432655474,1143.1909268484728,1.0071144278606965,206384336.0
3D-UNet,2,unet3d_e2,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,411648.0,131149,0.035417730977742874,1151.3236395245103,1.0,205193216.0
3D-UNet,2,unet3d_e2,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,413235.2,131654,0.03528187521837544,1146.9073784313427,1.0038557213930348,205838336.0
3D-UNet,3,unet3d_d2,OS,ROW_MAJOR,OS-RM,16,65536,16,4,470630.4000000001,10578,0.8747400264700321,14274.43221781055,1.1432835820895524,397019536.0
3D-UNet,3,unet3d_d2,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,448348.16000000003,10077,0.9182296318348715,14984.116701399225,1.0891542288557214,380010096.0
3D-UNet,3,unet3d_d2,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,411648.0,9253,1.0,16318.485248027666,1.0,351993856.0
