mix_id,mix_label,n_tasks,goal,rank,excluded,scheduler,dispatch_order,goal_value,makespan_cycles,mean_turnaround_cycles,mean_wait_cycles,max_turnaround_cycles,max_wait_cycles,weighted_score,luts,ffs,power_dynamic_w,fmax_mhz_post_synth,mean_turnaround_us,throughput_tasks_per_s,energy_uJ,hw_status,timing_source,hw_source,note
mix1,Workload mix 1,3,turnaround,8,False,FIFO,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,9,False,LRU,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,10,False,MLFQ,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,11,False,MLQ,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,12,False,RR,T0->T1->T2,36757.333333,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,13,False,LIFO,T2->T1->T0,41370.666667,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround,14,False,PRI,T2->T1->T0,41370.666667,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,1,False,MLQ,T0->T1->T2,327.022539,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,2,False,FIFO,T0->T1->T2,344.815510,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,3,False,LIFO,T2->T1->T0,372.373237,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,4,False,RR,T0->T1->T2,393.547466,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,5,False,MLFQ,T0->T1->T2,404.371104,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,6,False,AIMT,T0->T1->T2,423.960015,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,turnaround_us,7,False,PRI,T2->T1->T0,992.102318,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,8,False,SRTF,T0->T2->T1,1247.519747,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,9,False,SJF,T0->T2->T1,1296.683087,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,10,False,LRU,T0->T1->T2,1914.444444,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,11,False,EDF,T0->T1->T2,1934.596491,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,12,False,BATCHDNN,T0->T1->T2,3435.264798,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,turnaround_us,13,False,HRRN,T0->T2->T1,4049.641026,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,turnaround_us,,True,BATCHDNN_PP,T0->T1->T2,,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,wait,1,False,HRRN,T0->T2->T1,6790.666667,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,2,False,SJF,T0->T2->T1,6790.666667,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,3,False,SRTF,T0->T2->T1,6790.666667,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,4,False,AIMT,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,wait,5,False,BATCHDNN,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,wait,6,False,BATCHDNN_PP,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,wait,7,False,EDF,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,8,False,FIFO,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,9,False,LRU,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,10,False,MLFQ,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,11,False,MLQ,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,12,False,RR,T0->T1->T2,17225.333333,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,13,False,LIFO,T2->T1->T0,21838.666667,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,wait,14,False,PRI,T2->T1->T0,21838.666667,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,1,False,MLQ,T0->T1->T2,5754.659021,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,2,False,LIFO,T2->T1->T0,5688.101577,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,3,False,FIFO,T0->T1->T2,5457.710424,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,4,False,RR,T0->T1->T2,4781.896375,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,5,False,MLFQ,T0->T1->T2,4653.901290,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,6,False,AIMT,T0->T1->T2,4438.869547,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,throughput,7,False,PRI,T2->T1->T0,2134.958018,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,8,False,SRTF,T0->T2->T1,1080.278517,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,9,False,SJF,T0->T2->T1,1039.320090,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,10,False,LRU,T0->T1->T2,983.002253,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,11,False,EDF,T0->T1->T2,972.762646,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,12,False,BATCHDNN,T0->T1->T2,547.818964,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,throughput,13,False,HRRN,T0->T2->T1,332.787221,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,throughput,,True,BATCHDNN_PP,T0->T1->T2,,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,area,1,False,MLQ,T0->T1->T2,755.000000,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,2,False,FIFO,T0->T1->T2,1501.000000,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,3,False,LIFO,T2->T1->T0,1516.000000,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,4,False,RR,T0->T1->T2,1594.000000,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,5,False,PRI,T2->T1->T0,1663.000000,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,6,False,SRTF,T0->T2->T1,1854.000000,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,7,False,SJF,T0->T2->T1,1999.000000,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,8,False,MLFQ,T0->T1->T2,2295.000000,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,9,False,EDF,T0->T1->T2,2374.000000,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,10,False,HRRN,T0->T2->T1,2941.000000,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,11,False,LRU,T0->T1->T2,3035.000000,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,area,12,False,AIMT,T0->T1->T2,3417.000000,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,area,13,False,BATCHDNN,T0->T1->T2,4657.000000,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,area,,True,BATCHDNN_PP,T0->T1->T2,,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,power,1,False,MLQ,T0->T1->T2,0.008000,58596,36757.3,17225.3,58596,47192,4.9330,755,490,0.008,112.4,327.02,5754.7,4.171,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,2,False,FIFO,T0->T1->T2,0.011000,58596,36757.3,17225.3,58596,47192,4.9330,1501,1050,0.011,106.6,344.82,5457.7,6.046,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,3,False,LIFO,T2->T1->T0,0.012000,58596,41370.7,21838.7,58596,54112,5.7877,1516,1050,0.012,111.1,372.37,5688.1,6.329,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,4,False,RR,T0->T1->T2,0.013000,58596,36757.3,17225.3,58596,47192,4.9330,1594,1070,0.013,93.4,393.55,4781.9,8.156,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,5,False,SJF,T0->T2->T1,0.018000,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,6,False,SRTF,T0->T2->T1,0.018000,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,7,False,PRI,T2->T1->T0,0.020000,58596,41370.7,21838.7,58596,54112,5.7877,1663,1050,0.020,41.7,992.10,2135.0,28.104,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,8,False,EDF,T0->T1->T2,0.024000,58596,36757.3,17225.3,58596,47192,4.9330,2374,1050,0.024,19.0,1934.60,972.8,74.016,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,9,False,MLFQ,T0->T1->T2,0.024000,58596,36757.3,17225.3,58596,47192,4.9330,2295,1044,0.024,90.9,404.37,4653.9,15.471,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,10,False,AIMT,T0->T1->T2,0.025000,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,power,11,False,LRU,T0->T1->T2,0.027000,58596,36757.3,17225.3,58596,47192,4.9330,3035,1594,0.027,19.2,1914.44,983.0,82.401,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,12,False,BATCHDNN,T0->T1->T2,0.079000,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
mix1,Workload mix 1,3,power,13,False,HRRN,T0->T2->T1,0.126000,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,power,,True,BATCHDNN_PP,T0->T1->T2,,58596,36757.3,17225.3,58596,47192,4.9330,,,,,,,,unavailable,model,measured (Vivado 2025.2 OOC),"STALE: last successful synthesis (2026-07-28 17:31) predates the multi-driven-reset fix; that netlist had current_batch/slice_remaining tied to GND, so its numbers do not describe the current RTL. Re-synthesis OOM-killed 4x on this machine: sampled peak was 14.9/15GB RAM with swap fully exhausted, i.e. Vivado needs ~12GB for this module. Re-run scripts/synth_scheduler_hw.py --only BATCHDNN_PP on a host with more swap."
mix1,Workload mix 1,3,weighted,1,False,HRRN,T0->T2->T1,3.000000,58596,26322.7,6790.7,58596,15888,3.0000,2941,1002,0.126,6.5,4049.64,332.8,1135.861,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,weighted,2,False,SJF,T0->T2->T1,3.000000,58596,26322.7,6790.7,58596,15888,3.0000,1999,1050,0.018,20.3,1296.68,1039.3,51.957,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,weighted,3,False,SRTF,T0->T2->T1,3.000000,58596,26322.7,6790.7,58596,15888,3.0000,1854,490,0.018,21.1,1247.52,1080.3,49.987,ok,model,measured (Vivado 2025.2 OOC),
mix1,Workload mix 1,3,weighted,4,False,AIMT,T0->T1->T2,4.933033,58596,36757.3,17225.3,58596,47192,4.9330,3417,6565,0.025,86.7,423.96,4438.9,16.896,ok,model,measured (Vivado 2025.2 OOC),164 CRITICAL WARNING(s) in synthesis -- see AIMT_vivado.log
mix1,Workload mix 1,3,weighted,5,False,BATCHDNN,T0->T1->T2,4.933033,58596,36757.3,17225.3,58596,47192,4.9330,4657,6529,0.079,10.7,3435.26,547.8,432.625,ok,model,measured (Vivado 2025.2 OOC),200 CRITICAL WARNING(s) in synthesis -- see BATCHDNN_vivado.log
