workload,layer_idx,scheme,dram_traffic,norm_energy,weight_reuse,input_reuse
U-Net,4,Basic Tiling,1001568.0,0.3897564255827854,1.0,16.0
U-Net,4,Optimized Blocking,527114.0,0.20512443340306835,113.77777777777777,512.0
SSD-MobileNet,1,Baseline,333888.0,1.0,1.0,1.0
SSD-MobileNet,1,Basic Tiling,167908.0,0.5028871957063447,1.0,32.0
SSD-MobileNet,1,Optimized Blocking,94996.93074792244,0.2845173553644409,90.25,32.0
SSD-MobileNet,2,Baseline,574464.0,1.0,1.0,1.0
SSD-MobileNet,2,Basic Tiling,346688.0,0.6034982174688057,1.0,64.0
SSD-MobileNet,2,Optimized Blocking,64148.479999999996,0.11166666666666666,25.0,32.0
SSD-MobileNet,3,Baseline,1845504.0,1.0,1.0,1.0
SSD-MobileNet,3,Basic Tiling,1205444.0,0.6531787522541268,1.0,128.0
SSD-MobileNet,3,Optimized Blocking,215127.68,0.11656852545429323,6.25,32.0
SSD-MobileNet,4,Baseline,3591168.0,1.0,1.0,1.0
SSD-MobileNet,4,Basic Tiling,2368712.0,0.6595937589107499,1.0,128.0
SSD-MobileNet,4,Optimized Blocking,1058592.0,0.29477651839178787,2.25,32.0
